recommend_date,rank,stock_id,stock_name,total_score,current_price,forward_eps,eps_growth_pct,price_5d,return_5d_pct,price_20d,return_20d_pct,price_60d,return_60d_pct,hot_tags,recommendation
2026-06-05,1,2408,南亞科,60.7,358.85,,,331.93,-7.5017416747944825,475.47,32.49825832520552,,,,歷史回補
2026-06-05,2,1303,南亞,57.8,104.0,,,94.34,-9.288461538461535,154.26,48.32692307692308,,,,歷史回補
2026-06-05,3,2327,國巨*,57.3,763.52,,,813.17,6.502776613579209,1125.0,47.34388097233864,,,,歷史回補
2026-06-04,1,2344,華邦電,63.6,179.5,,,156.5,-12.8133704735376,205.0,14.206128133704743,,,,歷史回補
2026-06-04,2,2408,南亞科,62.8,393.73,,,361.84,-8.09945902014072,442.08,12.279988824829191,,,,歷史回補
2026-06-04,3,1303,南亞,62.6,110.47,,,98.72,-10.636371865664884,155.25,40.535892097402005,,,,歷史回補
2026-06-03,1,2408,南亞科,69.4,400.21,,,338.41,-15.441893006171748,453.04,13.200569700907039,,,,歷史回補
2026-06-03,2,6770,力積電,60.3,84.6,,,67.5,-20.2127659574468,78.6,-7.092198581560282,,,,歷史回補
2026-06-03,3,2337,旺宏,60.2,162.0,,,143.5,-11.419753086419748,172.0,6.172839506172845,,,,歷史回補
2026-06-02,1,2408,南亞科,68.1,418.16,,,358.85,-14.183566099100819,503.38,20.379758943944903,,,,歷史回補
2026-06-02,2,1303,南亞,65.5,111.96,,,104.0,-7.109682029296172,151.77,35.557341907824245,,,,歷史回補
2026-06-02,3,2344,華邦電,65.3,184.5,,,162.0,-12.195121951219512,222.0,20.32520325203253,,,,歷史回補
2026-06-01,1,2408,南亞科,69.9,380.28,,,358.85,-5.63532134216892,458.03,20.445461239086992,,,,歷史回補
2026-06-01,2,2344,華邦電,67.9,168.0,,,162.0,-3.57142857142857,218.5,30.059523809523814,,,,歷史回補
2026-06-01,3,6770,力積電,64.7,87.0,,,74.6,-14.252873563218394,74.2,-14.71264367816092,,,,歷史回補
